,Image,Full SIDC,Hierarchy Code,Name,Geometry,Annex
173,,SFGPUCEN-------,1.X.3.1.1.6.2 ,ENGINEER CONSTRUCTION,POINT,D
174,,SFGPUCENN------,1.X.3.1.1.6.2.1 ,ENGINEER NAVAL CONSTRUCTION,POINT,D
175,,SFGPUCF--------,1.X.3.1.1.7 ,FIELD ARTILLERY,POINT,D
176,,SFGPUCFH-------,1.X.3.1.1.7.1 ,HOWITZER/GUN,POINT,D
177,,SFGPUCFHE------,1.X.3.1.1.7.1.1 ,SELF PROPELLED,POINT,D
178,,SFGPUCFHS------,1.X.3.1.1.7.1.2 ,AIR ASSAULT,POINT,D
179,,SFGPUCFHA------,1.X.3.1.1.7.1.3 ,AIRBORNE,POINT,D
180,,SFGPUCFHC------,1.X.3.1.1.7.1.4 ,ARCTIC,POINT,D
181,,SFGPUCFHO------,1.X.3.1.1.7.1.5 ,MOUNTAIN,POINT,D
182,,SFGPUCFHL------,1.X.3.1.1.7.1.6 ,LIGHT,POINT,D
183,,SFGPUCFHM------,1.X.3.1.1.7.1.7 ,MEDIUM,POINT,D
184,,SFGPUCFHH------,1.X.3.1.1.7.1.8 ,HEAVY,POINT,D
185,,SFGPUCFHX------,1.X.3.1.1.7.1.9 ,AMPHIBIOUS,POINT,D
186,,SFGPUCFR-------,1.X.3.1.1.7.2 ,ROCKET,POINT,D
187,,SFGPUCFRS------,1.X.3.1.1.7.2.1 ,SINGLE ROCKET LAUNCHER,POINT,D
188,,SFGPUCFRSS-----,1.X.3.1.1.7.2.1.1 ,SINGLE ROCKET SELF PROPELLED,POINT,D
189,,SFGPUCFRSR-----,1.X.3.1.1.7.2.1.2 ,SINGLE ROCKET TRUCK,POINT,D
190,,SFGPUCFRST-----,1.X.3.1.1.7.2.1.3 ,SINGLE ROCKET TOWED,POINT,D
191,,SFGPUCFRM------,1.X.3.1.1.7.2.2 ,MULTI ROCKET LAUNCHER,POINT,D
192,,SFGPUCFRMS-----,1.X.3.1.1.7.2.2.1 ,MULTI ROCKET SELF PROPELLED,POINT,D
